,TotalSF,OverallQual,KitchenExterQual,GrLivArea,TotalBsmtSF,GarageArea,GarageCars,Baths,ExterQual,KitchenQual,BsmtQual,GarageYrBlt,FullBath,YearBuilt,1stFlrSF,After91,LotFrontage,YearRemodAdd,FireplaceQu,HasFireplaces,FoundationGroup_PConc,TotRmsAbvGrd,Fireplaces,HeatingQC,NeighGroup_NNS,BsmtFinSF1,GarageFinish_Unf,HasOpenPorchSF,HeatingEx,NeighGroup_BlueSwis,MSSubClassGroup_60,BsmtUnfSF,GarageType_Attchd,OverallCond,2ndFlrSF,Foundation_CBlock,MSZoningGroup_Group2,GarageType_Detchd,BsmtFinType1_GLQ,Ext1stGrp_Group2,MasVnrArea,LotArea,SaleCondition_Partial,LotShapeGroup_Group3,MSSubClassGroup_Group2,GarageFinish_RFn,SaleTypeGroup_Group2,BedroomAbvGr,Ext1stGrp_Group4,NeighGroup_BNS,MSZoning_RM,Neighborhood_NAmes,HasWoodDeckSF,Exterior1st_VinylSd,NeighGroup_STV,MasVnrType_None,NeighGroup_C3,OpenPorchSF,GarageFinish_None,Neighborhood_NridgHt,HasMasVnrArea,Electrical_SBrkr,MSSubClass_30,Neighborhood_Somerst,MasVnrGroup_Group3,GarageCond,Neighborhood_NoRidge,Exterior2nd_Wd Sdng,MSZoning_RL,WoodDeckSF,SaleType_WD,NeighGroup_BrMeadow,HasGarageArea,MasVnrGroup_Group2,BsmtCond,Neighborhood_OldTown,MSSubClassGroup_Group1,Neighborhood_CollgCr,Neighborhood_Gilbert,Fence_None,GarageQual,CentralAir_Y,Exterior1st_Wd Sdng,HouseStyle_2Story,HasEnclosedPorch,Neighborhood_IDOTRR,MSZoning_FV,BsmtFullBath,PavedDrive_Y,HasScreenPorch,ExposureGroup_Group2,Neighborhood_BrkSide,LotConfig_CulDSac,HasTotalBsmtSF,ExposureGroup_Group4,Neighborhood_NPkVill,Alley_None,Fence_MnPrv,ExposureGroup_None,RoofstyleGroup_Group2,GarageType_BuiltIn,MSSubClass_50,Electrical_FuseF,Has2ndFlrSF,BldgGroup_BldgGroup,Neighborhood_BrDale,MSSubClass_160,Ext1stGrp_Group3,Neighborhood_Edwards,Exterior1st_MetalSd,SaleCondition_Normal,HouseStyle_SLvl,Neighborhood_Sawyer,SaleType_ConLD,MSSubClass_80,Foundation_Wood,BsmtFinType1_Rec,LandContourGroup_Group2,Ext1stGrp_Group5,YrSold,Neighborhood_StoneBr,Exterior2nd_Plywood,GarageType_CarPort,MSSubClass_90,LandContourGroup_Group3,MSSubClassGroup_Group3,Neighborhood_Crawfor,Neighborhood_NWAmes,LotConfig_Inside,Functional_Typ,Neighborhood_SawyerW,Exterior2nd_HdBoard,BldgType_Twnhs,KitchenAbvGr,MSSubClass_180,ExterCond,LandContour_Low,HouseStyle_SFoyer,HouseStyle_1Story,FoundationGroup_Slab,MSSubClass_85,Neighborhood_Mitchel,Exterior2nd_Stucco,PoolQC,HouseStyle_1.5Unf,MSSubClass_20,Alley_Pave,RoofStyle_Shed,BsmtFinType1_BLQ,SaleCondition_Alloca,Exterior2nd_Wd Shng,BsmtExposure_Mn,Electrical_FuseP,Heating_Wall,MSSubClass_45,Neighborhood_Blueste,Neighborhood_Timber,Functional_Min2,HasMiscVal,RoofStyle_Hip,BldgType_2fmCon,Exterior2nd_Brk Cmn,LandContour_HLS,LotShape_IR3,LotShape_IR2,Exterior1st_AsphShn,Exterior2nd_AsphShn,PavedDrive_P,RoofMatl_WdShake,LotShapeGroup_Group2,RoofMatl_WdShngl,Street_Pave,Condition1_RRAe,Condition2_Feedr,SaleType_CWD,SaleConditionGroup_Group2,Functional_Mod,BsmtFinType2_BLQ,RoofMatl_Tar&Grv,MSZoning_RH,HouseStyle_2.5Unf,Neighborhood_Veenker,MSSubClass_70,Exterior1st_CemntBd,Condition1_PosA,Condition1_PosN,Neighborhood_SWISU,Condition2_Norm,BsmtFinSF2,Exterior1st_WdShing,Neighborhood_MeadowV,MSSubClass_40,Condition2_PosA,BsmtFinType2_Rec,LowQualFinSF,RoofStyle_Gambrel
10,2080.0,5,6.0,1040,1040.0,384.0,1.0,2.0,3,3.0,3,1965.0,1,1965,1040,0,70.0,1965,0,0,0,5,0,5,0,906.0,1,0,1,1,0,134.0,0,5,0,1,1,1,0,0,0.0,11200,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,1,0,1,0,3,0,0,0,0,1,3,1,0,0,0,0,0,1.0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,2008,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0
11,3499.0,9,10.0,2324,1175.0,736.0,3.0,4.0,5,5.0,5,2005.0,3,2005,1182,1,85.0,2006,4,1,1,11,2,5,1,998.0,0,1,1,0,1,177.0,0,5,1142,0,1,0,1,0,286.0,11924,1,0,0,0,1,4,1,0,0,0,1,0,0,0,0,21,0,1,1,1,0,0,1,3,0,0,1,147,0,0,1,0,3,0,0,0,0,1,3,1,0,1,0,0,0,1.0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0
12,1824.0,5,6.0,912,912.0,352.0,1.0,2.0,3,3.0,3,1962.0,1,1962,912,0,70.07505162821096,1962,0,0,0,4,0,3,0,737.0,1,0,0,1,0,175.0,0,6,0,1,1,1,0,0,0.0,12968,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,1,140,1,0,1,0,3,0,0,0,0,1,3,1,0,0,0,0,0,1.0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2008,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0
13,2988.0,7,8.0,1494,1494.0,840.0,3.0,2.0,4,4.0,4,2006.0,2,2006,1494,1,91.0,2007,4,1,1,7,1,5,0,0.0,0,1,1,0,0,1494.0,1,5,0,0,1,0,0,1,306.0,10652,1,0,0,1,1,3,0,0,0,0,1,1,0,0,1,33,0,0,1,1,0,0,1,3,0,0,1,160,0,0,1,0,3,0,0,1,0,1,3,1,0,0,0,0,0,0.0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0
14,2506.0,6,6.0,1253,1253.0,352.0,1.0,2.5,3,3.0,3,1960.0,1,1960,1253,0,73.44144542708747,1960,2,1,0,5,1,3,0,733.0,0,1,0,1,0,520.0,1,5,0,1,1,0,0,0,212.0,10920,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,213,0,0,1,1,0,0,0,3,0,0,1,0,1,0,1,1,3,0,0,0,0,0,3,1,0,0,1,0,0,1.0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2008,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0
15,1686.0,7,6.0,854,832.0,576.0,2.0,1.0,3,3.0,3,1991.0,1,1929,854,0,51.0,2001,0,0,0,5,0,5,0,0.0,1,1,1,0,0,832.0,0,8,0,0,0,1,0,0,0.0,6120,0,1,1,0,0,2,1,0,1,0,1,0,0,1,0,112,0,0,0,0,0,0,0,3,0,1,0,48,1,0,1,0,3,0,0,0,0,0,3,1,1,0,0,0,0,0.0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2007,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0
16,2008.0,6,6.0,1004,1004.0,480.0,2.0,2.0,3,3.0,3,1970.0,1,1970,1004,0,66.27734949373372,1970,3,1,0,5,1,5,0,578.0,0,0,1,1,0,426.0,1,7,0,1,1,0,0,0,180.0,11241,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,1,1,0,1,0,1,1,3,0,0,0,0,1,3,1,1,0,0,0,0,1.0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2010,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0
17,1296.0,4,6.0,1296,0.0,516.0,2.0,2.0,3,3.0,0,1967.0,2,1967,1296,0,72.0,1967,0,0,0,6,0,3,0,0.0,1,0,0,1,0,0.0,0,5,0,0,1,0,0,0,0.0,10791,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,1,0,1,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2006,0,0,1,1,1,0,0,0,1,1,0,0,0,2,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0
18,2228.0,5,7.0,1114,1114.0,576.0,2.0,2.5,3,4.0,3,2004.0,1,2004,1114,1,66.0,2004,0,0,1,6,0,5,0,646.0,1,1,1,0,0,468.0,0,5,0,0,1,1,1,1,0.0,13695,0,1,0,0,0,3,0,1,0,0,0,1,0,1,0,102,0,0,0,1,0,0,0,3,0,0,1,0,1,0,1,0,3,0,0,0,0,1,3,1,0,0,0,0,0,1.0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2008,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0
19,2368.0,5,6.0,1339,1029.0,294.0,1.0,1.0,3,3.0,3,1958.0,1,1958,1339,0,70.0,1965,0,0,0,6,0,3,0,504.0,1,0,0,1,0,525.0,1,6,0,1,1,0,0,1,0.0,7560,0,1,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,1,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0.0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0
20,3534.0,8,8.0,2376,1158.0,853.0,3.0,3.5,4,4.0,5,2005.0,3,2005,1158,1,101.0,2006,4,1,1,9,1,5,1,0.0,0,1,1,0,1,1158.0,0,5,1218,0,1,0,0,1,380.0,14215,1,0,0,1,1,4,0,0,0,0,1,1,0,0,0,154,0,1,1,1,0,0,0,3,0,0,1,240,0,0,1,1,3,0,0,0,0,1,3,1,0,1,0,0,0,0.0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0
21,1745.0,7,7.0,1108,637.0,280.0,1.0,1.0,3,4.0,3,1930.0,1,1930,1108,0,57.0,1950,4,1,1,6,1,5,0,0.0,1,0,1,0,0,637.0,1,7,0,0,0,0,0,0,0.0,7449,0,1,1,0,0,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1,1,0,3,0,0,0,0,0,3,1,1,0,1,1,0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2007,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0
