,OverallQual,GarageCars,TotalBsmtSF,GrLivArea,GarageArea,FullBath,YearBuilt,GarageYrBlt,ExterQual_TA,1stFlrSF,KitchenQual_TA,LotFrontage,ExterQual_Gd,Foundation_PConc,TotRmsAbvGrd,KitchenQual_Gd,YearRemodAdd,BsmtQual_Gd,Fireplaces,BsmtFinSF1,BsmtQual_TA,FireplaceQu_None,GarageFinish_Unf,GarageType_Attchd,BsmtUnfSF,GarageType_Detchd,MSSubClass_60,2ndFlrSF,OverallCond,BsmtFinType1_GLQ,Foundation_CBlock,Exterior1st_VinylSd,LotShape_Reg,MSSubClass_30,HeatingQC_TA,LotArea,MasVnrArea,MasVnrType_None,Neighborhood_NAmes,MSZoning_RM,CentralAir_Y,SaleCondition_Partial,GarageQual_None,HalfBath,GarageFinish_RFn,FireplaceQu_Gd,Neighborhood_NridgHt,GarageQual_TA,HouseStyle_2Story,FireplaceQu_TA,WoodDeckSF,PavedDrive_Y,GarageCond_TA,Neighborhood_NoRidge,MSZoning_RL,SaleType_WD,BedroomAbvGr,Electrical_SBrkr,MasVnrType_Stone,Neighborhood_Somerst,Neighborhood_CollgCr,OpenPorchSF,PoolQC_None,BsmtExposure_Gd,Neighborhood_Gilbert,Street_Pave,Neighborhood_OldTown,KitchenAbvGr,BsmtExposure_No,YrSold,Fence_MnPrv,MSZoning_FV,MasVnrType_BrkFace,Neighborhood_MeadowV,Exterior1st_Wd Sdng,EnclosedPorch,BsmtCond_Gd,Exterior2nd_Wd Sdng,KitchenQual_Fa,BsmtFinType1_Rec,BsmtFinSF2,MSSubClass_160,Exterior1st_CemntBd,Neighborhood_ClearCr,Neighborhood_BrkSide,RoofStyle_Hip,Neighborhood_IDOTRR,GarageType_BuiltIn,MSSubClass_50,Neighborhood_StoneBr,HeatingQC_Gd,Neighborhood_Sawyer,PavedDrive_P,Fence_None,HouseStyle_SFoyer,GarageCond_Fa,SaleCondition_Normal,MSSubClass_45,Functional_Typ,LotConfig_Inside,Exterior1st_MetalSd,Electrical_FuseF,Exterior1st_HdBoard,BsmtQual_Fa,HeatingQC_Fa,Exterior2nd_Plywood,ExterCond_TA,BldgType_Duplex,LotConfig_CulDSac,Alley_None,LotShape_IR2,Neighborhood_Edwards,BsmtFinType2_BLQ,RoofStyle_Gable,GarageCond_Po,Functional_Min2,LandSlope_Mod,ScreenPorch,ExterQual_Fa,Neighborhood_SawyerW,FireplaceQu_Po,LandContour_Lvl,MSSubClass_40,LandContour_HLS,RoofMatl_Tar&Grv,SaleType_ConLw,BsmtExposure_None,Neighborhood_BrDale,RoofStyle_Mansard,MiscVal,BldgType_TwnhsE,Alley_Pave,Exterior1st_WdShing,GarageType_CarPort,Fence_GdWo,Exterior1st_BrkFace,Condition2_Norm,BsmtFinType1_Unf,Heating_Grav,HouseStyle_SLvl,Foundation_Slab,BsmtExposure_Mn,MSSubClass_70,BsmtFinType2_Rec,Condition1_RRAe,Exterior2nd_BrkFace,HouseStyle_1.5Unf,Neighborhood_Mitchel,Electrical_FuseP,Neighborhood_NWAmes,MSSubClass_180,HouseStyle_2.5Unf,RoofStyle_Shed,BsmtFinType2_GLQ,LandSlope_Sev,MSSubClass_85,LotConfig_FR3,LotConfig_FR2,RoofMatl_WdShngl,BsmtHalfBath,Neighborhood_Blueste,Exterior1st_BrkComm,Neighborhood_Timber,Condition1_Norm,Neighborhood_SWISU,BldgType_2fmCon,Neighborhood_Veenker,Condition1_PosA,SaleCondition_Alloca,SaleType_ConLD,3SsnPorch,LotShape_IR3,Condition1_PosN,BsmtFinType1_LwQ,BsmtFinType1_BLQ,MSZoning_RH,Neighborhood_NPkVill,FireplaceQu_Fa
10,5,1.0,1040.0,1040,384.0,1,1965,1965.0,1,1040,1,70.0,0,0,5,0,1965,0,0,906.0,1,1,1,0,134.0,1,0,0,5,0,1,0,1,0,0,11200,0.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,3,1,0,0,0,0,1,0,0,1,0,1,1,2008,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,9,3.0,1175.0,2324,736.0,3,2005,2005.0,0,1182,0,85.0,0,1,11,0,2006,0,2,998.0,0,0,0,0,177.0,0,1,1142,5,1,0,0,0,0,0,11924,286.0,0,0,0,1,1,0,0,0,1,1,1,1,0,147,1,1,0,1,0,4,1,1,0,0,21,1,0,0,1,0,1,1,2006,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,5,1.0,912.0,912,352.0,1,1962,1962.0,1,912,1,69.77111490265379,0,0,4,0,1962,0,0,737.0,1,1,1,0,175.0,1,0,0,6,0,1,0,0,0,1,12968,0.0,1,0,0,1,0,0,0,0,0,0,1,0,0,140,1,1,0,1,1,2,1,0,0,0,0,1,0,0,1,0,1,1,2008,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,176,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,7,3.0,1494.0,1494,840.0,2,2006,2006.0,0,1494,0,91.0,1,1,7,1,2007,1,1,0.0,0,0,0,1,1494.0,0,0,0,5,0,0,1,0,0,0,10652,306.0,0,0,0,1,1,0,0,1,1,0,1,0,0,160,1,1,0,1,0,3,1,1,0,1,33,1,0,0,1,0,1,0,2007,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,6,1.0,1253.0,1253,352.0,1,1960,1960.0,1,1253,1,70.26455679543615,0,0,5,0,1960,0,1,733.0,1,0,0,1,520.0,0,0,0,5,0,1,0,0,0,1,10920,212.0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,2,1,0,0,0,213,1,0,0,1,0,1,1,2008,0,0,1,0,0,176,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
15,7,2.0,832.0,854,576.0,1,1929,1991.0,1,854,1,51.0,0,0,5,0,2001,0,0,0.0,1,1,1,0,832.0,1,0,0,8,0,0,0,1,0,0,6120,0.0,1,0,1,1,0,0,0,0,0,0,1,0,0,48,1,1,0,0,1,2,0,0,0,0,112,1,0,0,1,0,1,1,2007,0,0,0,0,1,0,0,1,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,6,2.0,1004.0,1004,480.0,1,1970,1970.0,1,1004,1,68.74076541770893,0,0,5,0,1970,0,1,578.0,1,0,0,1,426.0,0,0,0,7,0,1,0,0,0,0,11241,180.0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,2,1,0,0,0,0,1,0,0,1,0,1,1,2010,0,0,1,0,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,700,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,4,2.0,0.0,1296,516.0,2,1967,1967.0,1,1296,1,72.0,0,0,6,0,1967,0,0,0.0,0,1,1,0,0.0,0,0,0,5,0,0,0,1,0,1,10791,0.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,2,1,0,0,0,0,1,0,0,1,0,2,0,2006,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,500,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,5,2.0,1114.0,1114,576.0,1,2004,2004.0,1,1114,0,66.0,0,1,6,1,2004,0,0,646.0,1,1,1,0,468.0,1,0,0,5,1,0,1,1,0,0,13695,0.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,3,1,0,0,0,102,1,0,0,1,0,1,1,2008,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,5,1.0,1029.0,1339,294.0,1,1958,1958.0,1,1339,1,70.0,0,0,6,0,1965,0,0,504.0,1,1,1,1,525.0,0,0,0,6,0,1,0,1,0,1,7560,0.0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,3,1,0,0,0,0,1,0,0,1,0,1,1,2009,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,8,3.0,1158.0,2376,853.0,3,2005,2005.0,0,1158,0,101.0,1,1,9,1,2006,0,1,0.0,0,0,0,0,1158.0,0,1,1218,5,0,0,1,0,0,0,14215,380.0,0,0,0,1,1,0,1,1,1,1,1,1,0,240,1,1,0,1,0,4,1,0,0,0,154,1,0,0,1,0,1,0,2006,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,7,1.0,637.0,1108,280.0,1,1930,1930.0,1,1108,0,57.0,0,1,6,1,1950,0,1,0.0,1,0,1,1,637.0,0,0,0,7,0,0,0,1,0,0,7449,0.0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,1,0,0,1,0,1,1,2007,0,0,0,0,1,205,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,8,2.0,1777.0,1795,534.0,2,2002,2002.0,0,1795,0,75.0,1,1,7,1,2002,1,1,0.0,0,0,0,1,1777.0,0,0,0,5,0,0,1,1,0,0,9742,281.0,0,0,0,1,0,0,0,1,1,0,1,0,0,171,1,1,0,1,1,3,1,0,0,1,159,1,0,0,1,0,1,1,2008,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,5,2.0,1040.0,1060,572.0,1,1976,1976.0,1,1060,1,44.0,0,1,6,0,1976,1,1,840.0,0,0,1,1,200.0,0,0,0,7,1,0,0,1,0,1,4224,0.0,1,0,1,1,0,0,0,0,0,0,1,0,1,100,1,1,0,0,1,3,1,0,0,0,110,1,0,0,1,0,1,1,2007,0,0,0,1,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,1.0,1060.0,1060,270.0,1,1968,1968.0,1,1060,0,62.45760920329697,0,0,6,1,2001,0,1,188.0,1,0,1,1,204.0,0,0,0,8,0,1,0,0,0,0,8246,0.0,1,0,0,1,0,0,0,0,0,0,1,0,1,406,1,1,0,1,1,3,1,0,0,0,90,1,0,0,1,0,1,0,2010,1,0,0,0,0,0,0,0,0,1,668.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,8,3.0,1566.0,1600,890.0,2,2007,2007.0,0,1600,0,110.0,1,1,7,1,2007,1,1,0.0,0,0,0,1,1566.0,0,0,0,5,0,0,1,1,0,0,14230,640.0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,3,1,1,0,0,56,1,0,0,1,0,1,1,2009,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
