,OverallQual,GarageCars,KitchenExterQual,GrLivArea,Baths,BsmtQual,YearBuiltRev,LotFrontage,1stFlrSF,HasPconc,YearRemodAdd,TotRmsAbvGrd,BsmtFinSF1,HasFireplaces,NeighGroup_NNS,HeatingQC,HasOpenPorchSF,NeighGroup_BlueSwis,GarageFinish_Unf,GarageType_Detchd,GarageType_Attchd,GarageFinish_Fin,BsmtUnfSF,MSSubClass_60,2ndFlrSF,OverallCond,SaleCondition_Partial,NeighGroup_BEO,BsmtFinType1_GLQ,Foundation_CBlock,MSZoning_RM,GarageQual,GarageFinish_RFn,Exterior1st_VinylSd,HasMasVnrArea,Electrical_SBrkr,LotShape_Reg,HasWoodDeckSF,MasVnrType_None,Neighborhood_NAmes,LotArea,GarageCond,NeighGroup_C3,MSSubClass_30,Neighborhood_NridgHt,CentralAir_Y,NeighGroup_BNS,LotShape_IR1,NeighGroup_STV,PavedDrive_Y,HasVnrStone,Neighborhood_Somerst,HasGarageArea,Neighborhood_NoRidge,BedroomAbvGr,Neighborhood_Gilbert,HouseStyle_2Story,MasVnrType_BrkFace,BsmtExposure_Gd,MSZoning_RL,NeighGroup_BrMeadow,Neighborhood_MeadowV,Foundation_BrkTil,MSZoning_FV,Electrical_FuseA,Neighborhood_CollgCr,Neighborhood_OldTown,GarageType_BuiltIn,BsmtCond,BsmtFinType1_ALQ,BsmtExposure_None,Fence_MnPrv,MSSubClass_160,Neighborhood_BrkSide,Neighborhood_Edwards,MSSubClass_50,Neighborhood_BrDale,Exterior1st_Wd Sdng,BsmtExposure_No,SaleType_COD,Neighborhood_NWAmes,BsmtExposure_Av,Neighborhood_NPkVill,ExterCond,LandContour_Bnk,EnclosedPorch,IsDuplex
1350,5,4.0,6.0,2634,4.5,3,94,91.0,1338,0,1969,12,500.0,0,0,3,0,1,1,1,0,0,748.0,0,1296,5,0,0,0,1,0,3,0,0,1,1,1,0,0,1,11643,3,0,0,0,1,0,0,0,1,0,0,1,0,6,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1
1086,4,1.0,6.0,1092,1.5,3,98,52.63474253802967,546,0,1973,6,334.0,0,0,3,1,0,0,0,1,0,212.0,0,546,5,0,0,0,1,1,3,1,0,0,1,1,1,1,0,1974,3,0,0,0,1,0,0,0,1,0,0,1,0,3,0,1,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0
202,6,1.0,6.0,1310,2.0,2,49,50.0,865,0,1950,6,617.0,0,0,4,0,0,1,0,1,0,0.0,0,445,6,0,1,0,0,0,3,0,0,0,1,1,0,1,0,7000,3,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,4,0,126,0
1192,5,1.0,7.0,1472,1.0,3,50,60.0,842,1,1994,6,0.0,0,0,4,0,0,1,1,0,0,702.0,0,630,8,0,1,0,0,1,3,0,1,0,1,1,0,1,0,9600,2,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,84,0
527,9,3.0,10.0,2713,3.5,5,133,67.0,1476,1,2008,11,1330.0,1,1,5,1,0,0,0,1,1,122.0,1,1237,5,1,0,1,0,0,3,0,1,1,1,0,1,0,0,14948,3,0,0,1,1,0,1,0,1,1,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
310,6,2.0,7.0,1501,2.5,4,118,66.63179751362914,697,1,1994,6,518.0,1,0,4,1,0,0,0,1,1,179.0,1,804,5,0,0,0,0,0,3,0,0,1,1,0,1,0,0,7685,3,0,0,0,1,1,1,0,1,0,0,1,0,3,1,1,1,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0
916,2,1.0,6.0,480,1.0,3,74,50.0,480,0,1950,4,50.0,0,0,3,0,0,1,1,0,0,430.0,0,0,3,0,0,0,1,0,3,0,0,0,0,1,0,1,0,9000,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
1437,8,3.0,10.0,1932,3.0,5,133,96.0,1932,1,2008,7,1336.0,1,1,5,1,0,0,0,1,1,596.0,0,0,5,1,0,1,0,0,3,0,1,1,1,1,0,0,0,12444,3,0,0,1,1,0,0,0,1,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
8,7,2.0,6.0,1774,2.0,3,56,51.0,1022,0,1950,8,0.0,1,0,4,0,0,1,1,0,0,952.0,0,752,5,0,1,0,0,1,2,0,0,0,0,1,1,1,0,6120,3,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,205,0
241,5,0.0,7.0,866,1.0,3,70,40.0,866,0,1997,4,329.0,0,0,4,1,0,0,0,0,0,357.0,0,0,9,0,1,0,1,1,0,0,1,0,1,1,1,1,0,3880,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0
983,8,2.0,8.0,2290,2.5,4,127,79.67620384296393,1149,1,2002,9,0.0,1,0,5,0,0,1,0,1,0,1128.0,1,1141,5,0,0,0,0,0,3,0,0,0,1,1,0,1,0,11250,3,1,0,0,1,0,0,0,1,0,0,1,0,4,0,1,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
623,6,2.0,8.0,1512,2.5,4,125,60.21037691453995,756,1,2000,4,420.0,1,0,5,1,0,1,1,0,0,336.0,0,756,5,0,0,1,0,0,3,0,0,1,1,1,0,0,0,2117,3,0,0,0,1,0,0,1,1,0,1,1,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0
1267,9,3.0,10.0,2018,2.0,5,133,89.0,2018,1,2009,10,0.0,1,0,5,1,0,0,0,1,1,2002.0,0,0,5,0,0,0,0,0,3,0,0,0,1,0,1,1,0,13214,3,0,0,0,1,0,1,1,1,0,0,1,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
1393,6,2.0,6.0,1912,2.0,2,30,60.0,1221,0,2000,7,0.0,1,0,5,1,0,1,1,0,0,482.0,0,691,7,0,1,0,0,1,4,0,0,0,1,1,0,1,0,10800,3,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,212,0
494,5,1.0,6.0,886,1.0,2,63,50.0,886,0,1996,4,0.0,0,0,4,1,0,1,0,1,0,190.0,0,0,8,0,1,0,0,1,3,0,0,0,0,1,1,1,0,5784,3,0,1,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,80,0
774,8,3.0,8.0,1973,2.0,4,131,110.0,1973,1,2006,9,0.0,1,1,4,1,0,0,0,1,1,1935.0,0,0,5,1,0,0,0,0,3,0,1,1,1,1,1,0,0,14226,3,0,0,1,1,0,0,0,1,0,0,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
997,6,2.0,6.0,1442,2.0,3,95,72.00628807622653,1442,0,1970,6,0.0,1,0,3,0,0,0,0,1,0,1442.0,0,0,6,0,0,0,1,0,3,1,0,1,1,0,1,0,0,11717,3,0,0,0,1,1,1,0,1,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0
731,7,2.0,8.0,1146,3.0,5,128,73.0,1146,1,2003,6,786.0,1,0,5,1,0,0,0,1,1,82.0,0,0,5,0,0,1,0,0,3,0,1,1,1,0,1,0,0,9590,3,0,0,0,1,0,1,1,1,0,0,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
864,7,2.0,8.0,1372,2.0,5,132,72.0,1372,1,2008,6,0.0,0,0,5,1,0,0,0,1,1,1372.0,0,0,5,1,0,0,0,0,3,0,1,0,1,1,0,1,0,8640,3,0,0,0,1,0,0,1,1,0,1,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0
275,7,2.0,9.0,1548,2.5,3,50,55.0,952,0,2007,5,0.0,0,0,4,0,0,1,1,0,0,952.0,0,596,7,0,1,0,0,0,3,0,0,0,1,1,1,1,0,7264,3,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,1,0,1,1,0,0,0,0,4,0,0,0
1431,6,2.0,6.0,958,2.0,4,101,60.83225687225652,958,0,1976,5,958.0,0,0,3,1,1,0,0,1,0,0.0,0,0,6,0,0,0,1,0,3,1,0,0,1,0,0,1,0,4928,3,0,0,0,1,0,1,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0
638,5,0.0,6.0,796,1.0,2,35,67.0,796,0,1950,4,0.0,0,0,4,0,0,0,0,0,0,796.0,0,0,7,0,1,0,1,0,0,0,0,0,0,1,1,1,0,8777,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,3,0,164,0
1037,8,2.0,8.0,2263,2.5,4,126,73.9655830977754,1055,1,2002,7,0.0,1,0,5,1,0,0,0,0,1,1055.0,1,1208,5,0,0,0,0,0,3,0,1,1,1,1,0,0,0,9240,3,1,0,0,1,0,0,0,1,0,0,1,0,3,0,1,1,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0
643,5,2.0,6.0,1620,2.5,3,94,80.0,780,0,1969,7,493.0,0,0,5,0,0,0,0,1,1,0.0,1,840,5,0,0,0,1,0,3,0,0,1,1,1,1,0,0,10793,3,0,0,0,1,1,0,0,1,0,0,1,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0
664,8,3.0,9.0,2097,2.5,5,130,49.0,2097,1,2006,8,1721.0,1,0,5,1,0,0,0,1,1,356.0,0,0,5,1,0,1,0,0,3,0,1,0,1,0,1,1,0,20896,3,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
700,8,3.0,8.0,1800,3.0,5,127,85.0,1800,1,2002,7,1274.0,1,0,5,1,0,0,0,1,1,526.0,0,0,5,0,0,1,0,0,3,0,1,1,1,1,1,0,0,14331,3,0,0,0,1,0,0,1,1,0,0,1,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
62,8,2.0,8.0,1370,2.0,4,131,44.0,1370,1,2006,6,24.0,1,1,5,1,0,0,0,1,0,1346.0,0,0,5,0,0,1,0,0,3,1,1,1,1,0,1,0,0,6442,3,0,0,1,1,0,1,0,1,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
1386,7,2.0,7.0,2784,4.5,4,103,80.0,1392,0,1978,12,790.0,1,0,3,1,0,0,0,1,0,133.0,1,1392,5,0,0,0,1,0,3,1,0,1,1,0,0,0,0,16692,3,0,0,0,1,1,1,0,1,0,0,1,0,5,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0
639,8,3.0,9.0,1567,3.0,4,131,53.0,1567,1,2006,7,1154.0,1,0,5,0,0,0,0,1,1,366.0,0,0,5,1,0,1,0,0,3,0,1,0,1,1,1,1,0,3982,3,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
315,7,2.0,8.0,1432,3.5,4,129,71.0,716,1,2005,6,425.0,1,0,5,1,0,0,0,1,1,291.0,1,716,5,0,0,1,0,0,3,0,1,0,1,0,1,1,0,7795,3,0,0,0,1,1,1,0,1,0,0,1,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0
920,6,2.0,8.0,1721,3.0,4,119,70.0,936,1,1994,7,814.0,0,0,5,1,0,0,0,1,0,114.0,1,785,5,0,0,1,0,0,3,1,0,1,1,0,1,0,0,8462,3,0,0,0,1,1,1,0,1,0,0,1,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0
1279,4,2.0,6.0,1128,1.0,3,45,60.0,698,0,1950,6,0.0,0,0,3,0,0,0,1,0,0,698.0,0,430,4,0,0,0,1,0,3,1,0,0,0,1,1,1,0,7500,3,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,4,0,164,0
493,5,1.0,6.0,1269,1.5,3,85,70.0,1269,0,1960,6,374.0,1,0,3,0,1,1,1,0,0,363.0,0,0,6,0,0,0,1,0,3,0,0,0,0,1,0,1,1,7931,3,0,0,0,1,0,0,0,1,0,0,1,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0
1121,7,3.0,8.0,1552,2.0,4,130,84.0,1552,1,2006,7,24.0,0,0,5,1,0,0,0,1,0,1528.0,0,0,5,1,0,1,0,0,3,1,1,1,1,1,1,0,0,10084,3,1,0,0,1,0,0,0,1,0,0,1,0,3,0,0,1,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
1080,6,2.0,8.0,1258,2.5,3,96,80.0,1258,0,2004,5,656.0,0,0,5,0,0,0,0,1,0,602.0,0,0,7,0,0,0,1,0,3,1,1,1,1,1,1,0,0,11040,3,0,0,0,1,1,0,0,1,0,0,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,1,0,0,4,0,0,0
442,5,2.0,6.0,1573,2.0,3,55,52.0,1128,1,1992,8,0.0,1,0,3,0,0,1,1,0,0,1078.0,0,445,7,0,1,0,0,1,3,0,0,0,1,1,0,1,0,6240,3,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0
745,8,2.0,9.0,2715,4.0,3,101,77.34923309969825,1175,0,1996,11,575.0,1,0,5,1,0,0,0,0,1,487.0,1,1540,9,0,0,1,1,0,3,0,1,1,1,0,0,0,0,8963,3,0,0,0,1,1,1,0,1,0,0,1,0,4,0,1,1,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0
558,7,2.0,6.0,1446,3.0,4,121,57.0,729,1,1997,6,604.0,1,0,5,1,0,1,0,1,0,125.0,1,717,5,0,0,1,0,0,3,0,0,0,1,0,1,1,0,21872,3,0,0,0,1,1,0,0,1,0,0,1,0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
154,6,1.0,6.0,1200,1.0,3,48,84.0,1200,0,1950,7,0.0,0,0,3,0,0,1,1,0,0,1200.0,0,0,5,0,1,0,0,1,2,0,0,0,0,1,0,1,0,11340,2,0,1,0,1,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,228,0
620,3,0.0,6.0,864,2.0,3,39,45.0,864,0,1950,5,41.0,0,0,3,0,0,0,0,0,0,823.0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,8248,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,100,0
1085,6,2.0,7.0,996,2.0,4,117,73.0,996,1,1992,5,747.0,0,0,5,0,0,1,0,1,0,189.0,0,0,6,0,0,1,0,0,3,0,0,0,1,1,1,1,0,9069,3,0,0,0,1,1,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
1062,5,2.0,6.0,2337,2.0,3,25,85.0,1422,0,1950,10,0.0,0,0,3,1,0,1,1,0,0,662.0,0,915,5,0,1,0,0,1,3,0,0,0,1,1,0,1,0,13600,3,0,0,0,0,0,0,0,1,0,0,1,0,5,0,1,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0
970,4,0.0,6.0,1192,1.5,3,74,60.0,720,0,1950,6,0.0,0,0,3,0,1,0,0,0,0,720.0,0,472,4,0,0,0,1,0,0,0,0,0,0,1,0,1,1,10800,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0
188,5,2.0,6.0,1224,3.0,4,104,64.0,1224,0,1979,6,1086.0,1,0,3,0,0,1,1,0,0,0.0,0,0,5,0,0,1,1,0,3,0,0,1,1,1,1,0,0,7018,3,0,0,0,1,1,0,0,1,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1
189,8,2.0,9.0,1593,2.5,5,126,41.0,1593,1,2002,5,1153.0,1,1,5,1,0,0,0,1,1,440.0,0,0,5,0,0,1,0,0,3,0,0,0,1,1,0,1,0,4923,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
495,4,0.0,6.0,720,1.0,3,45,60.0,720,0,1950,4,495.0,0,0,3,1,0,0,0,0,0,225.0,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,1,0,7879,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,115,0
978,4,2.0,6.0,894,1.0,3,79,68.0,894,0,1954,5,552.0,0,0,5,0,0,1,1,0,0,342.0,0,0,5,0,1,0,1,0,3,0,0,0,1,1,0,1,0,9450,3,0,0,0,1,0,0,0,1,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1,0,0
242,5,1.0,6.0,1440,1.0,3,25,63.0,889,0,1950,6,0.0,0,0,4,0,0,1,0,1,0,540.0,0,551,4,0,1,0,0,1,2,0,0,0,0,1,0,1,0,5000,3,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3,0,77,0
1294,5,2.0,6.0,864,2.0,3,80,60.0,864,0,1990,5,167.0,0,0,3,0,0,1,1,0,0,697.0,0,0,7,0,1,0,1,0,3,0,0,0,1,1,0,1,0,8172,3,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0
1205,7,3.0,8.0,2196,2.0,4,115,90.0,2196,0,1991,7,485.0,1,0,4,1,0,0,0,1,0,1496.0,0,0,7,0,0,0,1,0,3,1,0,1,1,0,1,0,0,14684,3,0,0,0,1,1,1,0,1,0,0,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
1330,8,3.0,8.0,1588,2.0,4,131,85.0,1588,1,2006,7,0.0,1,0,5,1,0,0,0,1,0,1588.0,0,0,5,0,0,0,0,0,3,1,1,1,1,1,1,0,0,10000,3,0,0,0,1,0,0,1,1,1,1,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
1388,9,3.0,10.0,1746,3.0,5,131,42.0,1746,1,2007,7,1320.0,1,0,5,1,0,0,0,1,1,426.0,0,0,5,0,0,1,0,0,3,0,1,1,1,0,1,0,0,14892,3,0,0,0,1,1,1,0,1,1,0,1,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
351,7,2.0,7.0,1453,2.5,4,111,70.88475977561814,1453,1,1986,6,1082.0,1,0,4,1,0,0,0,1,0,371.0,0,0,5,0,0,1,0,0,3,1,0,0,1,0,0,1,0,5271,3,1,0,0,1,0,1,0,1,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0
