,OverallQual,GarageCars,GrLivArea,Baths,1stFlrSF,ExterQual_TA,ExterQual_Gd,KitchenQual_TA,LotFrontage,YearRemodAdd,TotRmsAbvGrd,FireplaceQu_None,BsmtFinSF1,KitchenQual_Gd,BsmtQual_TA,BsmtQual_Gd,GarageType_Attchd,GarageFinish_Unf,GarageFinish_Fin,BsmtUnfSF,HeatingQC_Ex,GarageType_Detchd,MSSubClass_60,OverallCond,2ndFlrSF,Foundation_CBlock,BsmtFinType1_GLQ,BsmtQual_Ex,KitchenQual_Ex,Exterior1st_VinylSd,HeatingQC_TA,MasVnrType_None,LotArea,GarageFinish_RFn,MSZoning_RM,ExterQual_Ex,LotShape_Reg,GarageCond_TA,MSSubClass_30,CentralAir_Y,FireplaceQu_TA,LotShape_IR1,Neighborhood_NAmes,FireplaceQu_Gd,SaleCondition_Partial,BedroomAbvGr,GarageQual_None,Neighborhood_NoRidge,MSZoning_RL,Electrical_SBrkr,PavedDrive_Y,HouseStyle_2Story,Neighborhood_CollgCr,Neighborhood_Somerst,Neighborhood_NridgHt,Foundation_BrkTil,Neighborhood_Gilbert,MasVnrType_BrkFace,BsmtFinType1_ALQ,Electrical_FuseA,Fence_None,Fence_MnPrv,BsmtExposure_None,Exterior1st_Wd Sdng,Neighborhood_OldTown,FireplaceQu_Ex,LotConfig_CulDSac,MSZoning_FV,Neighborhood_NWAmes,Neighborhood_MeadowV,Neighborhood_IDOTRR,Exterior1st_AsbShng,MSSubClass_50,BsmtFinSF2,GarageQual_Fa,Exterior1st_CemntBd,PavedDrive_P,KitchenQual_Fa,GarageType_BuiltIn,Alley_Grvl,Neighborhood_Edwards,EnclosedPorch,LowQualFinSF,Neighborhood_Mitchel,ExterCond_Fa,MSSubClass_160,Neighborhood_Sawyer,Heating_Grav,BsmtQual_Fa,HeatingQC_Fa,Neighborhood_BrkSide,LotConfig_FR2,MSZoning_RH,LandContour_Bnk,Alley_Pave,FireplaceQu_Fa,MSSubClass_90,MSSubClass_180,HeatingQC_Gd,BsmtCond_Fa,Exterior2nd_Stucco,BsmtCond_TA,BsmtFinType2_ALQ,Exterior1st_Plywood,Condition1_Artery,BsmtExposure_Gd,BldgType_1Fam,BsmtExposure_No,Neighborhood_BrDale,Neighborhood_ClearCr,HouseStyle_SFoyer,LotShape_IR2,PoolQC_Ex,GarageType_CarPort,BsmtFinType1_Rec,BsmtExposure_Av,GarageQual_Gd,Fence_GdWo,MiscFeature_None,Foundation_Slab,FireplaceQu_Po,BsmtFinType1_LwQ,Condition2_Norm,BsmtFinType1_Unf,ScreenPorch,GarageCond_Po,Exterior2nd_Brk Cmn,Functional_Mod,Fence_MnWw,MSSubClass_40,ExterQual_Fa,Neighborhood_Timber,MSSubClass_85,MSZoning_C (all),GarageQual_Ex,GarageType_2Types,SaleType_ConLI,BsmtFinType2_Unf,RoofStyle_Gable,GarageType_Basment,MSSubClass_80,BsmtHalfBath,Neighborhood_NPkVill,Condition1_Feedr,BldgType_2fmCon,Electrical_FuseF,BsmtFinType1_BLQ,Functional_Min2,RoofStyle_Flat,Condition1_RRNn,GarageCond_Fa,MSSubClass_45,Neighborhood_StoneBr,3SsnPorch
1350,5,4.0,2634,4.5,1338,1,0,1,91.0,1969,12,1,500.0,0,1,0,0,1,0,748.0,0,1,0,5,1296,1,0,0,0,0,1,0,11643,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
1086,4,1.0,1092,1.5,546,1,0,1,54.40470298752959,1973,6,1,334.0,0,1,0,1,0,0,212.0,0,0,0,5,546,1,0,0,0,0,1,1,1974,1,1,0,1,1,0,1,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
202,6,1.0,1310,2.0,865,1,0,1,50.0,1950,6,1,617.0,0,0,0,1,1,0,0.0,0,0,0,6,445,0,0,0,0,0,0,1,7000,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1192,5,1.0,1472,1.0,842,1,0,0,60.0,1994,6,1,0.0,1,1,0,0,1,0,702.0,0,1,0,8,630,0,0,0,0,1,0,1,9600,0,1,0,1,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0,0,1,0,0,1,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0
527,9,3.0,2713,3.5,1476,0,0,0,67.0,2008,11,0,1330.0,0,0,0,1,0,1,122.0,1,0,1,5,1237,0,1,1,1,1,0,0,14948,0,0,1,0,1,0,1,0,1,0,1,1,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
310,6,2.0,1501,2.5,697,1,0,0,61.85556154259486,1994,6,0,518.0,1,0,1,1,0,1,179.0,0,0,1,5,804,0,0,0,0,0,0,0,7685,0,0,0,0,1,0,1,1,1,0,0,0,3,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
916,2,1.0,480,1.0,480,1,0,1,50.0,1950,4,1,50.0,0,1,0,0,1,0,430.0,0,1,0,3,0,1,0,0,0,0,1,1,9000,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
1437,8,3.0,1932,3.0,1932,0,0,0,96.0,2008,7,0,1336.0,0,0,0,1,0,1,596.0,1,0,0,5,0,0,1,1,1,1,0,0,12444,0,0,1,1,1,0,1,0,0,0,1,1,2,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,304
8,7,2.0,1774,2.0,1022,1,0,1,51.0,1950,8,0,0.0,0,1,0,0,1,0,952.0,0,1,0,5,752,0,0,0,0,0,0,1,6120,0,1,0,1,1,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0
241,5,0.0,866,1.0,866,1,0,0,40.0,1997,4,1,329.0,1,1,0,0,0,0,357.0,0,0,0,9,0,1,0,0,0,1,0,1,3880,0,1,0,1,0,1,1,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
983,8,2.0,2290,2.5,1149,0,1,0,74.93710989051125,2002,9,0,0.0,1,0,1,1,1,0,1128.0,1,0,1,5,1141,0,0,0,0,0,0,1,11250,0,0,0,1,1,0,1,0,0,0,1,0,4,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
623,6,2.0,1512,2.5,756,0,1,0,58.63098375705139,2000,4,0,420.0,1,0,1,0,1,0,336.0,1,1,0,5,756,0,1,0,0,0,0,0,2117,0,0,0,1,1,0,1,1,0,0,0,0,2,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1267,9,3.0,2018,2.0,2018,0,0,0,89.0,2009,10,0,0.0,0,0,0,1,0,1,2002.0,1,0,0,5,0,0,0,1,1,0,0,1,13214,0,0,1,0,1,0,1,0,1,0,1,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1393,6,2.0,1912,2.0,1221,1,0,1,60.0,2000,7,0,0.0,0,0,0,0,1,0,482.0,1,1,0,7,691,0,0,0,0,0,0,1,10800,0,1,0,1,1,0,0,1,0,0,0,0,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0
494,5,1.0,886,1.0,886,1,0,1,50.0,1996,4,1,0.0,0,0,0,1,1,0,190.0,0,0,0,8,0,0,0,0,0,0,0,1,5784,0,1,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
774,8,3.0,1973,2.0,1973,0,1,0,110.0,2006,9,0,0.0,1,0,1,1,0,1,1935.0,0,0,0,5,0,0,0,0,0,1,0,0,14226,0,0,0,1,1,0,1,0,0,0,1,1,3,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
997,6,2.0,1442,2.0,1442,1,0,1,75.17804007914224,1970,6,0,0.0,0,1,0,1,0,0,1442.0,0,0,0,6,0,1,0,0,0,0,1,0,11717,1,0,0,0,1,0,1,1,1,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
731,7,2.0,1146,3.0,1146,0,1,0,73.0,2003,6,0,786.0,1,0,0,1,0,1,82.0,1,0,0,5,0,0,1,1,0,1,0,0,9590,0,0,0,0,1,0,1,0,1,0,1,0,3,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0
864,7,2.0,1372,2.0,1372,0,1,0,72.0,2008,6,1,0.0,1,0,0,1,0,1,1372.0,1,0,0,5,0,0,0,1,0,1,0,1,8640,0,0,0,1,1,0,1,0,0,0,0,1,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
275,7,2.0,1548,2.5,952,0,1,0,55.0,2007,5,1,0.0,0,1,0,0,1,0,952.0,0,1,0,7,596,0,0,0,1,0,0,1,7264,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,144,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1431,6,2.0,958,2.0,958,1,0,1,60.86211638595467,1976,5,1,958.0,0,0,1,1,0,0,0.0,0,0,0,6,0,1,0,0,0,0,1,1,4928,1,0,0,0,1,0,1,0,1,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0
638,5,0.0,796,1.0,796,1,0,1,67.0,1950,4,1,0.0,0,0,0,0,0,0,796.0,0,0,0,7,0,1,0,0,0,0,0,1,8777,0,0,0,1,0,1,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,1,164,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
